counter,WellID,meanError,minError,maxError,#samples,delta
158,2057,3.2099,0.1764,8.6178,14,0.2292785714
76,2295,2.2957,0.6959,5.137,10,0.22957
160,174,3.2191,0.0027,7.4993,14,0.2299357143
293,1908,4.6036,0.056,13.4289,20,0.23018
188,810,3.4563,0.5141,7.8024,15,0.23042
190,731,3.4602,1.5145,5.5778,15,0.23068
247,1790,4.161,1.0584,8.9804,18,0.2311666667
232,699,3.9377,1.3226,7.9652,17,0.2316294118
275,750,4.4297,2.3869,9.7409,19,0.2331421053
141,1771,3.0325,0.3447,5.3268,13,0.2332692308
250,2463,4.2101,0.3231,10.8152,18,0.2338944444
106,2008,2.588,0.4239,5.7891,11,0.2352727273
286,1593,4.5253,0.6894,8.0849,19,0.2381736842
151,1136,3.1039,0.0096,9.2688,13,0.2387615385
262,142,4.2979,0.1614,11.058,18,0.2387722222
84,1523,2.3959,1.0114,4.4168,10,0.23959
129,1801,2.907,1.3838,5.9953,12,0.24225
209,1760,3.6518,0.2751,14.9478,15,0.2434533333
246,1107,4.1518,0.8033,14.8009,17,0.2442235294
230,1703,3.9094,0.9496,7.3675,16,0.2443375
210,1376,3.6723,0.2029,9.1852,15,0.24482
156,1143,3.1854,0.6671,5.7532,13,0.2450307692
184,2011,3.432,0.087,7.8555,14,0.2451428571
273,1569,4.4151,0.8324,9.3243,18,0.2452833333
118,2343,2.7166,0.2883,9.8346,11,0.2469636364
189,1098,3.4592,0.7036,7.3593,14,0.2470857143
68,2557,2.2246,0.0612,5.6766,9,0.2471777778
213,1676,3.7205,2.1302,5.1907,15,0.2480333333
137,1914,2.9884,1.1131,4.5648,12,0.2490333333
214,961,3.7358,0.2478,8.6436,15,0.2490533333
281,2131,4.4859,0.7307,13.0114,18,0.2492166667
195,2162,3.491,0.3493,7.0129,14,0.2493571429
302,740,4.7435,0.1907,14.0137,19,0.2496578947
303,1825,4.7444,0.8996,9.5756,19,0.2497052632
256,2544,4.2473,0.7006,8.3025,17,0.2498411765
235,58,4.0002,0.239,7.8458,16,0.2500125
