counter,WellID,meanError,minError,maxError,#samples,delta
851,554,11.8641,7.9662,15.2041,12,0.988675
1013,1982,14.8391,13.1041,16.6659,15,0.9892733333
1112,2639,16.8378,9.7777,24.6848,17,0.9904588235
854,551,11.8978,2.9219,15.6595,12,0.9914833333
733,2074,9.9368,8.8294,12.2535,10,0.99368
857,1458,11.9386,7.412,19.5564,12,0.9948833333
1069,131,15.9234,11.8392,20.6627,16,0.9952125
914,1501,12.9431,0.785,24.4388,13,0.9956230769
916,1531,12.9488,1.1511,16.3212,13,0.9960615385
979,1598,13.9725,4.5521,19.6904,14,0.9980357143
1019,646,14.9758,12.5423,17.2336,15,0.9983866667
919,229,12.9884,7.2734,15.7717,13,0.9991076923
1297,562,22.0162,18.7752,24.201,22,1.0007363636
1201,763,19.0436,16.4241,24.0897,19,1.0022947368
1023,710,15.037,11.1565,18.7352,15,1.0024666667
1238,138,20.0526,16.2052,25.1992,20,1.00263
1025,2269,15.0646,11.8468,29.3158,15,1.0043066667
1119,514,17.0829,13.5506,20.7341,17,1.0048764706
1027,2052,15.079,0.1952,29.2752,15,1.0052666667
801,171,11.0592,0.7988,19.135,11,1.0053818182
1158,672,18.1176,7.6658,21.8869,18,1.0065333333
866,845,12.1141,9.2026,15.3808,12,1.0095083333
1032,2426,15.1444,6.4122,27.2561,15,1.0096266667
868,952,12.1184,1.8429,23.7161,12,1.0098666667
1124,2505,17.2389,3.0829,30.2819,17,1.0140529412
1164,1037,18.2996,11.4555,25.4122,18,1.0166444444
810,308,11.184,1.2467,22.8172,11,1.0167272727
1213,1372,19.3407,0.8241,42.3849,19,1.0179315789
1089,2184,16.3561,1.0868,53.331,16,1.02225625
1090,1605,16.3776,13.2132,21.5333,16,1.0236
1041,35,15.3682,13.2228,18.1041,15,1.0245466667
997,230,14.3586,0.4238,35.3988,14,1.0256142857
1043,2622,15.4048,6.3172,24.5298,15,1.0269866667
818,1406,11.329,2.2162,19.3692,11,1.0299090909
882,2128,12.3713,4.385,21.5925,12,1.0309416667
883,1123,12.372,9.1909,18.3256,12,1.031
751,1613,10.3265,5.9466,17.4949,10,1.03265
885,619,12.4121,8.5693,17.1976,12,1.0343416667
1182,492,18.6939,14.0515,21.5512,18,1.03855
1226,345,19.7434,6.003,29.2848,19,1.0391263158
1053,387,15.592,12.0835,17.938,15,1.0394666667
822,501,11.4443,8.9962,13.5239,11,1.0403909091
1105,663,16.6536,7.8668,23.1029,16,1.04085
1291,208,21.8654,6.5766,37.0043,21,1.0412095238
948,912,13.5396,3.158,18.9011,13,1.0415076923
1189,247,18.7857,6.8663,31.7945,18,1.04365
1055,2717,15.6871,3.4644,29.4354,15,1.0458066667
759,1331,10.4698,4.3509,20.9025,10,1.04698
1109,579,16.7618,9.3977,27.5158,16,1.0476125
762,651,10.4842,7.6748,13.297,10,1.04842
1057,525,15.7321,9.9243,20.3554,15,1.0488066667
763,2445,10.4926,1.0774,22.5222,10,1.04926
1196,381,18.9004,7.0033,25.9618,18,1.0500222222
1299,1168,22.0515,14.7282,30.4353,21,1.0500714286
1111,2409,16.8117,10.1581,25.1757,16,1.05073125
896,781,12.6451,9.3129,16.8479,12,1.0537583333
1236,691,20.0329,17.2149,24.3497,19,1.0543631579
1199,1338,19.0092,10.8609,34.4605,18,1.0560666667
1012,636,14.8024,0.5861,40.2789,14,1.0573142857
1066,1348,15.891,1.2189,28.9173,15,1.0594
1241,1510,20.1647,0.1936,42.4025,19,1.0613
1204,1530,19.1037,12.3143,24.9398,18,1.0613166667
1070,657,15.9531,13.7994,18.8213,15,1.06354
1016,1533,14.8961,11.4822,18.4448,14,1.0640071429
1075,251,16.0089,10.0007,32.0309,15,1.06726
1077,771,16.0323,0.4246,23.7653,15,1.06882
1160,2073,18.1822,14.409,20.6025,17,1.0695411765
975,431,13.9091,5.8086,27.5445,13,1.0699307692
1078,1177,16.0661,7.8071,29.9554,15,1.0710733333
977,2076,13.9371,8.2547,19.0516,13,1.0720846154
1342,567,23.5875,14.1727,26.9318,22,1.0721590909
1212,79,19.3281,14.1055,24.1752,18,1.0737833333
719,2204,9.6654,0.0565,16.7399,9,1.0739333333
1123,1412,17.2029,1.5412,36.0524,16,1.07518125
1217,2489,19.461,11.2975,25.0504,18,1.0811666667
1218,499,19.4668,3.5225,61.9381,18,1.0814888889
1083,555,16.2581,12.8897,20.7694,15,1.0838733333
1084,2004,16.2965,11.9041,20.0454,15,1.0864333333
1288,759,21.7389,19.187,25.2226,20,1.086945
924,1201,13.0452,7.4791,18.0208,12,1.0871
1173,1723,18.4931,5.513,24.1493,17,1.0878294118
1132,406,17.4067,5.8504,40.1056,16,1.08791875
925,1554,13.0561,7.9433,17.8287,12,1.0880083333
927,389,13.0735,7.9009,19.1794,12,1.0894583333
1087,1285,16.3456,2.9437,39.578,15,1.0897066667
1091,1971,16.3895,13.6849,19.5572,15,1.0926333333
1136,1375,17.4881,0.0751,58.7596,16,1.09300625
1176,1691,18.6088,14.3899,21.1515,17,1.0946352941
864,2254,12.0928,3.1119,29.3729,11,1.0993454545
1183,303,18.6983,15.0974,21.2794,17,1.0999
865,2526,12.1012,3.2303,18.2251,11,1.1001090909
1044,2151,15.405,10.4364,17.7783,14,1.1003571429
729,1953,9.9042,7.6986,12.5675,9,1.1004666667
1096,322,16.5645,12.7401,20.9777,15,1.1043
1047,538,15.4644,12.2477,17.2487,14,1.1046
1100,1095,16.5982,8.6727,23.6717,15,1.1065466667
1102,684,16.6451,11.9501,20.4013,15,1.1096733333
804,2529,11.1148,0.2349,36.1632,10,1.11148
875,887,12.245,9.3545,17.1076,11,1.1131818182
1052,2072,15.589,13.7942,18.3241,14,1.1135
1150,447,17.8747,6.0878,45.5598,16,1.11716875
943,2570,13.4367,5.3113,22.0391,12,1.119725
1151,2346,17.9255,15.8996,19.7292,16,1.12034375
1115,720,16.8782,13.6405,20.7602,15,1.1252133333
1249,2220,20.3238,7.8322,31.719,18,1.1291
1011,2713,14.7569,0.5417,32.6534,13,1.1351461538
892,904,12.5057,10.8338,14.1183,11,1.1368818182
1162,2119,18.1965,6.0267,25.929,16,1.13728125
1280,2723,21.6094,12.7685,35.1081,19,1.1373368421
1120,1411,17.1052,0.8123,45.4632,15,1.1403466667
961,1876,13.6929,11.4017,16.753,12,1.141075
1284,841,21.6955,18.1256,26.414,19,1.1418684211
1163,318,18.2839,14.8171,20.6139,16,1.14274375
1122,1873,17.1769,14.2888,18.5401,15,1.1451266667
1167,2638,18.3472,6.7252,30.1566,16,1.1467
967,2353,13.8006,10.0267,17.2259,12,1.15005
1168,2695,18.4325,4.8573,30.1319,16,1.15203125
1329,464,23.0703,19.6796,26.2555,20,1.153515
1021,1749,15.0098,11.7059,20.724,13,1.1546
902,1715,12.7296,11.586,14.9297,11,1.1572363636
1263,1993,20.9022,16.2166,24.4315,18,1.1612333333
1085,375,16.3001,4.7507,30.5783,14,1.1642928571
1031,407,15.1389,12.2018,21.0199,13,1.1645307692
1135,187,17.4796,4.3046,33.3801,15,1.1653066667
1138,2118,17.4945,3.4069,46.8438,15,1.1663
1181,2318,18.68,5.5634,26.9851,16,1.1675
1088,40,16.3482,12.2505,21.4363,14,1.1677285714
1305,1854,22.2186,18.3822,31.1581,19,1.1694
1185,105,18.7113,14.5549,22.2597,16,1.16945625
1093,594,16.397,11.2162,21.885,14,1.1712142857
1272,255,21.1126,0.6424,40.7441,18,1.1729222222
846,354,11.7776,3.6356,21.2394,10,1.17776
1237,2525,20.0413,2.8744,31.9849,17,1.1789
917,1104,12.9697,5.638,17.7939,11,1.1790636364
1310,476,22.4078,17.1318,29.7176,19,1.1793578947
987,835,14.1547,8.7045,17.0733,12,1.1795583333
1195,1132,18.8852,12.1233,37.9607,16,1.180325
1239,1493,20.097,5.6322,30.9163,17,1.1821764706
1042,866,15.3792,8.868,23.6968,13,1.1830153846
771,2206,10.6549,0.8308,23.1258,9,1.1838777778
1314,2661,22.5076,3.7092,34.4914,19,1.1846105263
1315,832,22.519,13.8588,27.8373,19,1.1852105263
1046,536,15.448,13.3844,18.3222,13,1.1883076923
855,1714,11.9234,10.6413,13.725,10,1.19234
1367,1477,25.0477,5.4312,45.2194,21,1.192747619
624,45,8.3652,1.0006,22.3222,7,1.1950285714
1371,2628,25.1942,8.2349,39.9097,21,1.1997238095
1253,480,20.4009,14.9265,24.6875,17,1.2000529412
1351,893,24.0543,17.7129,28.0957,20,1.202715
1352,1356,24.0965,2.9955,50.5163,20,1.204825
1157,2250,18.0797,9.2687,38.0341,15,1.2053133333
1354,2501,24.1941,10.4388,50.2495,20,1.209705
1117,1071,16.9527,8.7028,23.155,14,1.2109071429
789,1574,10.9074,5.038,17.2631,9,1.2119333333
1290,1060,21.8437,2.1071,37.562,18,1.2135388889
1061,661,15.7867,13.3501,19.1015,13,1.2143615385
1165,1093,18.3071,11.5761,27.1343,15,1.2204733333
1296,2113,21.974,3.6886,34.1268,18,1.2207777778
1064,711,15.8721,7.3524,25.3603,13,1.2209307692
1166,2273,18.3459,9.969,24.3735,15,1.22306
1121,2403,17.1426,13.9075,20.5617,14,1.2244714286
1457,2584,29.4177,19.2338,35.9226,24,1.2257375
1300,425,22.0677,10.1456,31.3093,18,1.2259833333
1072,319,15.9889,9.9253,21.6849,13,1.2299153846
1171,2138,18.4744,14.7092,24.3059,15,1.2316266667
880,2608,12.3276,7.6485,17.4324,10,1.23276
950,2065,13.5622,9.7659,17.6689,11,1.2329272727
1267,2133,20.9927,14.5527,28.4297,17,1.2348647059
1270,1893,21.0211,18.7017,23.4526,17,1.2365352941
1227,1951,19.8066,18.3041,21.558,16,1.2379125
1131,905,17.3646,8.4335,26.5694,14,1.2403285714
1080,753,16.134,11.1877,22.8834,13,1.2410769231
1017,1155,14.8964,9.9879,18.4119,12,1.2413666667
1361,704,24.846,17.5597,30.6395,20,1.2423
1273,1910,21.1211,15.5263,25.745,17,1.2424176471
1309,2651,22.3812,13.5398,29.3973,18,1.2434
1184,1435,18.7009,1.3956,46.319,15,1.2467266667
1275,1849,21.2112,18.2808,24.0431,17,1.2477176471
964,1089,13.7705,10.1559,16.9326,11,1.2518636364
1348,1110,23.797,19.0618,28.4293,19,1.2524736842
1396,121,26.324,15.1873,38.9432,21,1.2535238095
1086,1922,16.3163,13.0006,20.5342,13,1.2551
1028,372,15.102,1.8815,33.8195,12,1.2585
1140,178,17.6227,8.3631,29.8326,14,1.2587642857
1141,1919,17.6234,10.6194,21.9303,14,1.2588142857
1029,2686,15.1121,1.933,21.014,12,1.2593416667
1243,664,20.2255,13.9358,39.5056,16,1.26409375
1197,2171,18.9851,15.8684,21.3194,15,1.2656733333
1198,1150,18.997,5.271,42.4151,15,1.2664666667
1145,342,17.7447,10.2298,27.644,14,1.2674785714
1247,885,20.313,15.84,23.7195,16,1.2695625
1323,344,22.9205,11.558,38.1682,18,1.2733611111
1282,2527,21.6542,16.5907,30.3947,17,1.2737764706
1254,1131,20.4055,2.3245,39.4912,16,1.27534375
1099,1597,16.5806,9.2988,19.9478,13,1.2754307692
1205,2169,19.1522,10.441,26.7239,15,1.2768133333
1206,1995,19.2327,14.355,23.5774,15,1.28218
1107,2060,16.6801,11.0116,25.2713,13,1.2830846154
1154,732,17.9643,15.4212,20.1084,14,1.2831642857
1432,2213,28.2313,5.7123,39.9778,22,1.2832409091
1156,2174,17.9771,0.0723,23.6069,14,1.2840785714
1208,1119,19.2996,10.3576,24.0112,15,1.28664
1256,2126,20.6365,13.8601,24.617,16,1.28978125
837,36,11.6177,8.1529,18.3127,9,1.2908555556
1294,1927,21.9618,19.7992,24.2052,17,1.2918705882
1159,1196,18.1299,0.5365,40.4767,14,1.2949928571
1215,984,19.4275,14.8014,26.5952,15,1.2951666667
1219,2465,19.4709,2.4185,43.7342,15,1.29806
1116,1471,16.8787,11.008,20.8811,13,1.2983615385
923,1480,13.0343,0.5718,23.4187,10,1.30343
1262,1182,20.892,11.2491,37.6619,16,1.30575
1220,1321,19.5895,14.4136,27.2206,15,1.3059666667
764,895,10.4978,7.1717,14.1148,8,1.312225
1223,2466,19.7144,3.0187,33.8581,15,1.3142933333
1170,2207,18.4464,1.2887,27.6596,14,1.3176
1368,1272,25.0614,18.5271,31.1499,19,1.3190210526
1172,176,18.4759,11.7303,29.1954,14,1.3197071429
1063,1502,15.8424,2.3538,29.1985,12,1.3202
1229,1297,19.8657,13.6991,27.867,15,1.32438
1232,2125,19.9108,0.0434,41.679,15,1.3273866667
1233,500,19.9435,8.2515,28.6003,15,1.3295666667
1071,1906,15.9558,9.5913,19.9866,12,1.32965
1128,481,17.3247,11.5645,23.2198,13,1.3326692308
1010,897,14.6635,6.7652,18.1647,11,1.3330454545
1129,678,17.3335,12.7414,22.21,13,1.3333461538
939,1991,13.3665,11.7015,14.8425,10,1.33665
1353,1614,24.1436,19.8521,30.0867,18,1.3413111111
1191,160,18.8196,8.8483,26.885,14,1.3442571429
1194,2276,18.872,13.6859,23.7358,14,1.348
1435,2013,28.3391,24.9508,36.5269,21,1.3494809524
1327,2315,23.0512,10.8422,43.9675,17,1.3559529412
952,2563,13.5674,7.3064,21.4081,10,1.35674
1330,2434,23.0767,8.4644,30.583,17,1.3574529412
1287,2322,21.726,13.98,29.9497,16,1.357875
1251,324,20.3879,15.8654,25.0194,15,1.3591933333
955,2189,13.6162,3.0645,21.8,10,1.36162
956,122,13.6221,2.0784,58.5757,10,1.36221
1386,1395,25.9366,2.4363,56.9752,19,1.3650842105
1292,2513,21.8818,7.8759,33.8946,16,1.3676125
1358,1928,24.6748,13.8931,37.7902,18,1.3708222222
1209,2648,19.3218,10.7684,28.6669,14,1.3801285714
1301,933,22.0832,11.4645,27.1928,16,1.3802
1210,2488,19.3253,10.1927,26.6573,14,1.3803785714
1152,350,17.946,11.0623,24.2005,13,1.3804615385
1097,2536,16.5703,4.6763,34.8847,12,1.3808583333
1098,1629,16.5741,14.6113,18.6032,12,1.381175
1302,883,22.1185,14.0543,29.9461,16,1.38240625
1340,992,23.5131,8.7535,28.9371,17,1.3831235294
1304,2528,22.1893,9.0304,32.5729,16,1.38683125
1104,450,16.6531,5.6835,25.9821,12,1.3877583333
1261,96,20.8352,17.74,22.8566,15,1.3890133333
1106,2334,16.6695,8.5896,22.2426,12,1.389125
1427,534,27.8274,21.6144,32.3426,20,1.39137
1308,263,22.3795,8.0125,28.8451,16,1.39871875
1407,191,26.7408,15.625,35.8591,19,1.4074105263
903,899,12.7414,7.0325,20.9071,9,1.4157111111
1438,172,28.4222,19.0858,36.1737,20,1.42111
1277,2145,21.4547,13.7044,25.4782,15,1.4303133333
1382,2191,25.7738,17.4243,34.2759,18,1.4318777778
1324,1231,22.9383,15.9049,28.7138,16,1.43364375
1279,2478,21.5726,12.1421,32.2024,15,1.4381733333
1187,2709,18.7439,0.399,38.4237,13,1.4418384615
1188,2081,18.7561,11.757,23.209,13,1.4427769231
1246,2722,20.294,0.8195,43.5364,14,1.4495714286
1003,1225,14.5014,8.0598,19.6099,10,1.45014
1336,2183,23.2037,16.3069,26.7867,16,1.45023125
1252,2379,20.3927,8.5344,35.8559,14,1.4566214286
1394,403,26.2771,10.0349,48.7334,18,1.4598388889
1362,1051,24.8903,22.1016,27.4266,17,1.4641352941
1295,1072,21.9708,16.7267,26.4745,15,1.46472
1363,903,24.9024,22.6848,26.5232,17,1.4648470588
1142,1383,17.6339,12.4126,22.0383,12,1.4694916667
1341,1520,23.5354,17.8896,29.372,16,1.4709625
1257,1474,20.7445,6.6963,43.36,14,1.48175
1258,2535,20.7582,6.5095,37.4209,14,1.4827285714
1406,2670,26.7048,19.8661,36.6497,18,1.4836
1148,1276,17.8459,2.303,26.9525,12,1.4871583333
1434,2214,28.3083,21.3788,31.539,19,1.4899105263
1409,2625,26.8595,17.1284,31.8921,18,1.4921944444
1214,1275,19.4048,8.8269,29.2304,13,1.4926769231
1153,196,17.9576,13.4743,24.3252,12,1.4964666667
1094,959,16.472,13.4601,21.6236,11,1.4974545455
1155,1256,17.9716,6.706,35.8221,12,1.4976333333
1417,2245,27.0391,13.0233,62.8855,18,1.5021722222
1377,2678,25.5386,14.1673,43.9208,17,1.5022705882
860,2026,12.0403,10.9553,13.6024,8,1.5050375
1026,2612,15.0765,10.3942,24.3259,10,1.50765
1276,666,21.2209,15.1124,26.8409,14,1.5157785714
1108,210,16.6975,14.6897,18.0882,11,1.5179545455
1035,1267,15.1883,7.6249,24.4557,10,1.51883
1356,269,24.3234,12.0772,50.933,16,1.5202125
1326,1447,22.9589,7.5356,40.4794,15,1.5305933333
1391,426,26.1691,19.0935,39.0447,17,1.5393588235
1332,686,23.0937,19.4535,25.943,15,1.53958
1118,213,16.9821,7.0675,29.7918,11,1.5438272727
1489,1341,32.4247,20.3225,40.059,21,1.5440333333
1425,1307,27.8018,4.1951,36.0011,18,1.5445444444
1359,652,24.7269,17.7634,27.6522,16,1.54543125
976,1682,13.9335,8.6653,19.3478,9,1.5481666667
1285,359,21.6985,16.4527,25.9442,14,1.5498928571
1177,1330,18.6157,12.6272,28.9217,12,1.5513083333
1242,595,20.1797,15.5109,22.6455,13,1.5522846154
1180,25,18.6707,15.9029,22.1884,12,1.5558916667
1248,1279,20.319,3.236,39.2203,13,1.563
1338,143,23.4798,17.5277,27.6279,15,1.56532
1190,155,18.7896,2.0275,65.4527,12,1.5658
1404,280,26.6277,17.1942,51.3683,17,1.5663352941
1461,1224,29.815,8.8059,65.534,19,1.5692105263
1255,1334,20.4241,14.852,25.6274,13,1.5710846154
1192,1647,18.8578,14.1594,22.8767,12,1.5714833333
1193,1417,18.8586,11.6068,24.9256,12,1.57155
1060,2108,15.7752,2.7929,22.6384,10,1.57752
1439,132,28.4458,23.5864,32.0474,18,1.5803222222
1440,432,28.5128,12.3321,64.2384,18,1.5840444444
994,2578,14.2619,2.7808,22.9058,9,1.5846555556
1414,2546,26.9552,18.0573,36.5505,17,1.5856
1076,2198,16.0214,3.3868,25.965,10,1.60214
1143,558,17.6547,14.9846,23.053,11,1.6049727273
1207,2694,19.2908,16.1942,23.9869,12,1.6075666667
1380,1461,25.7287,2.7604,41.4829,16,1.60804375
1316,1122,22.5194,18.745,25.3386,14,1.6085285714
1320,2285,22.6242,16.4777,31.9216,14,1.6160142857
1383,608,25.8574,22.7996,29.4645,16,1.6160875
1147,1552,17.8176,14.6744,22.4729,11,1.6197818182
1216,1413,19.4586,10.7997,31.2664,12,1.62155
1422,1244,27.6859,13.5155,33.9069,17,1.6285823529
1426,1065,27.8139,19.1733,40.3337,17,1.6361117647
1322,2398,22.9069,3.9164,31.0341,14,1.6362071429
1222,472,19.6919,12.9945,25.9896,12,1.6409916667
1395,2467,26.286,12.9743,47.1961,16,1.642875
1397,830,26.3341,23.7894,31.9744,16,1.64588125
1510,1420,34.5856,30.7683,42.4662,21,1.6469333333
1328,1243,23.0608,18.1928,30.5397,14,1.6472
1493,289,32.9504,15.4223,52.2432,20,1.64752
1477,2610,31.4521,22.9617,44.0794,19,1.6553736842
1334,692,23.1938,19.0991,30.4946,14,1.6567
1401,297,26.5088,19.894,33.0036,16,1.6568
1231,827,19.9014,17.7665,24.2355,12,1.65845
1405,418,26.6565,16.9739,52.4628,16,1.66603125
1283,11,21.6897,12.9206,27.5727,13,1.6684384615
1337,173,23.359,6.3926,34.8775,14,1.6685
1464,2521,30.0983,1.4665,54.6217,18,1.6721277778
1240,809,20.1034,17.2723,23.8868,12,1.6752833333
1289,371,21.8356,16.1653,30.8025,13,1.6796615385
1482,2703,31.9735,19.2156,52.167,19,1.6828157895
1413,2541,26.9371,17.3917,36.2677,16,1.68356875
1034,1662,15.1823,12.3218,17.3328,9,1.6869222222
1293,1134,21.9456,15.7264,24.725,13,1.6881230769
1343,602,23.6452,21.3504,27.2593,14,1.6889428571
1244,622,20.269,11.3346,30.0836,12,1.6890833333
1344,512,23.6522,10.7721,33.6799,14,1.6894428571
1298,22,22.0234,17.8597,27.7997,13,1.6941076923
1038,2069,15.2636,10.0573,19.2297,9,1.6959555556
1448,204,28.8391,18.7007,39.235,17,1.6964176471
1449,2512,28.8986,9.517,52.3121,17,1.6999176471
1186,2306,18.7131,7.2787,27.3043,11,1.7011909091
1451,448,29.0266,19.9225,40.205,17,1.7074470588
1379,2663,25.6416,13.8587,40.5981,15,1.70944
1306,2354,22.2667,8.4795,33.6757,13,1.7128230769
1385,2324,25.9072,16.9645,32.2027,15,1.7271466667
1200,2637,19.0367,1.6836,32.5005,11,1.7306090909
1511,1565,34.6131,29.1546,38.043,20,1.730655
1317,2588,22.5243,0.7823,58.6342,13,1.7326384615
1318,2010,22.5964,19.9679,25.6031,13,1.7381846154
1388,2427,26.1079,4.2562,39.6215,15,1.7405266667
1475,1328,31.3524,1.6502,46.4462,18,1.7418
1264,503,20.9087,12.6453,32.122,12,1.7423916667
1269,2665,21.0155,12.018,26.7081,12,1.7512916667
1271,1346,21.0555,12.593,31.3993,12,1.754625
1211,2104,19.3272,14.9037,23.0387,11,1.7570181818
1321,2090,22.8833,0.0497,59.9436,13,1.7602538462
1499,1394,33.6139,17.9032,64.5971,19,1.7691526316
1402,325,26.5971,22.5262,28.6185,15,1.77314
1437,340,28.3731,9.192,41.0977,16,1.77331875
1403,2116,26.6138,4.9854,38.0746,15,1.7742533333
1333,2099,23.1227,14.4025,29.0192,13,1.7786692308
1365,1076,24.9483,15.9521,31.3772,14,1.7820214286
1224,1895,19.7201,2.1447,39.4907,11,1.7927363636
1228,1062,19.8312,13.6266,31.969,11,1.8028363636
1373,1216,25.2973,10.0976,43.5108,14,1.80695
1375,2239,25.3343,11.133,32.5767,14,1.8095928571
1544,770,38.1305,22.0605,47.0946,21,1.8157380952
1161,2063,18.1848,8.6731,27.1545,10,1.81848
1008,2511,14.606,6.931,19.9496,8,1.82575
1454,2635,29.2367,17.1464,42.8432,16,1.82729375
1347,1019,23.7844,20.0562,26.6312,13,1.8295692308
1420,2554,27.5497,24.0395,33.7131,15,1.8366466667
1349,1599,23.8886,18.975,30.0368,13,1.8375846154
1513,2634,34.9304,0.6412,53.703,19,1.8384421053
1350,1432,23.9174,15.2261,37.3377,13,1.8398
1474,2728,31.3379,23.532,41.7432,17,1.8434058824
1531,207,36.8811,23.6676,50.2251,20,1.844055
1533,458,36.992,3.2517,89.1365,20,1.8496
1424,2631,27.7818,10.8061,38.3417,15,1.85212
1428,202,27.9112,0.1759,60.4339,15,1.8607466667
1387,2323,26.0904,17.2953,33.248,14,1.8636
1355,491,24.2626,17.2767,33.6278,13,1.8663538462
1389,1034,26.1412,21.6491,31.0445,14,1.8672285714
1313,1816,22.4417,14.034,25.9723,12,1.8701416667
1462,1466,29.9379,19.2237,43.4612,16,1.87111875
1393,1366,26.2295,3.9668,40.64,14,1.8735357143
1430,1724,28.1086,21.8677,31.861,15,1.8739066667
1436,837,28.3728,23.1069,32.3241,15,1.89152
1486,337,32.3112,4.4428,68.6998,17,1.9006588235
1203,2677,19.0653,10.106,29.6109,10,1.90653
1266,2357,20.9743,15.5371,24.5627,11,1.9067545455
1445,1326,28.6924,25.2701,33.2576,15,1.9128266667
1447,1389,28.7458,19.2205,35.4775,15,1.9163866667
1127,1007,17.2834,3.8445,32.995,9,1.9203777778
1366,2259,25.0002,13.9111,32.0098,13,1.9230923077
1331,2361,23.0917,14.8597,31.2095,12,1.9243083333
1274,989,21.1945,0.0357,34.7278,11,1.9267727273
1450,2619,28.953,20.3304,38.5201,15,1.9302
1452,360,29.0434,23.2927,32.8478,15,1.9362266667
1418,1223,27.1306,0.5655,44.1212,14,1.9379
1139,1527,17.5368,15.0556,20.2065,9,1.9485333333
1419,1208,27.3327,18.8481,33.7749,14,1.9523357143
1278,271,21.4787,17.5299,23.4382,11,1.9526090909
1455,439,29.2892,20.6691,35.6871,15,1.9526133333
1458,1441,29.4227,3.6757,47.4947,15,1.9615133333
1221,1686,19.6468,17.5694,23.1222,10,1.96468
1378,675,25.5531,19.5939,32.9724,13,1.9656230769
1225,1096,19.7333,15.9802,23.7101,10,1.97333
1345,2613,23.6813,20.5926,26.2241,12,1.9734416667
1478,1343,31.6339,16.4033,43.9993,16,1.97711875
1423,352,27.7407,14.8035,40.2793,14,1.9814785714
1559,2134,39.7553,19.8097,55.8225,20,1.987765
1481,429,31.8171,24.9595,39.9089,16,1.98856875
1384,1116,25.8666,20.0232,31.5031,13,1.9897384615
1463,2607,29.9616,21.0067,48.7293,15,1.99744
1505,2714,34.1793,6.894,49.8354,17,2.0105470588
1303,1178,22.162,19.4164,24.2627,11,2.0147272727
1485,1278,32.2684,18.112,52.1102,16,2.016775
1465,2515,30.3968,17.8637,50.0404,15,2.0264533333
1245,564,20.271,17.2047,25.0471,10,2.0271
1490,2519,32.5392,24.1554,37.0048,16,2.0337
1400,2402,26.4799,22.1153,30.7131,13,2.0369153846
1467,321,30.6414,13.5071,61.1825,15,2.04276
1530,219,36.7987,17.343,56.6376,18,2.0443722222
1468,1354,30.6868,1.1053,58.1555,15,2.0457866667
1492,55,32.7511,24.8278,36.3461,16,2.04694375
1469,2218,30.7312,24.0718,40.8289,15,2.0487466667
1446,2500,28.6949,14.0977,47.612,14,2.0496357143
1174,1964,18.5616,11.8772,27.2888,9,2.0624
1495,110,33.0067,25.5933,39.427,16,2.06291875
1175,2675,18.5948,5.3214,33.5289,9,2.0660888889
1411,1140,26.8891,23.3958,29.4722,13,2.0683923077
1415,66,26.9628,24.1531,31.8916,13,2.0740615385
1534,951,37.4059,32.769,42.4953,18,2.0781055556
1473,370,31.3292,19.9325,59.0433,15,2.0886133333
1370,401,25.0953,2.4277,52.3595,12,2.091275
1265,2157,20.9606,18.4241,25.1343,10,2.09606
1374,159,25.3168,14.6368,38.4989,12,2.1097333333
1479,1039,31.7251,26.3499,38.7403,15,2.1150066667
1504,248,33.9314,14.1321,57.4137,16,2.1207125
1421,1513,27.6694,9.3978,52.6496,13,2.1284153846
1381,896,25.7715,16.3355,33.1279,12,2.147625
1488,1217,32.3951,21.0921,48.0666,15,2.1596733333
1529,2627,36.7397,17.725,47.2522,17,2.1611588235
1551,2411,38.9036,13.7522,62.6833,18,2.1613111111
1346,2360,23.7822,19.6115,27.6839,11,2.1620181818
1431,2351,28.2064,22.615,35.9273,13,2.1697230769
1466,2299,30.4596,8.8811,50.8237,14,2.1756857143
1390,962,26.1456,23.8404,29.6509,12,2.1788
1470,918,30.7796,26.7537,34.1936,14,2.1985428571
1596,581,48.4701,40.8613,51.4024,22,2.2031863636
1230,848,19.8986,7.7781,24.2375,9,2.2109555556
1235,2435,19.9721,17.0233,25.6691,9,2.2191222222
1498,2641,33.3618,12.8163,48.6,15,2.22412
1521,281,35.6006,18.2081,59.477,16,2.2250375
1539,2419,37.8355,2.9285,70.7941,17,2.2256176471
1563,2240,40.2007,29.5461,52.3371,18,2.2333722222
1357,1475,24.5876,0.839,49.2449,11,2.2352363636
1410,537,26.8678,18.6148,33.2808,12,2.2389833333
1312,545,22.4171,19.362,25.7549,10,2.24171
1412,1528,26.9062,22.8378,30.0939,12,2.2421833333
1524,1359,35.8769,25.6624,46.1857,16,2.24230625
1319,1716,22.6001,20.5091,24.556,10,2.26001
1585,408,45.2649,23.3885,60.4067,20,2.263245
1547,445,38.6409,5.5236,75.7221,17,2.2729941176
1459,2462,29.5673,19.5793,40.6985,13,2.2744076923
1325,721,22.9452,21.0166,25.6684,10,2.29452
1372,1031,25.2607,24.1039,26.4792,11,2.2964272727
1484,1335,32.2009,24.9677,38.8064,14,2.3000642857
1554,1169,39.1131,3.8865,67.2253,17,2.3007705882
1376,413,25.3995,11.0699,38.2238,11,2.3090454545
1487,2297,32.3859,20.8561,37.5131,14,2.3132785714
1597,286,48.6088,18.4147,60.2787,21,2.3147047619
